KPI Report Date,Company (NON-NULL Total),Company (NON-NULL Unique),Member of the S&P500 (YES Total),Member of the Russell 1000 Index (YES Total),Ticker(s) (NON-NULL Total),Ticker(s) (NON-NULL Unique),Country (NON-NULL Total),Country (NON-NULL Unique),sector code #1 (NAICS) (NON-NULL Unique),sector code #2 (NAICS) (NON-NULL Unique),sector code #3 (NAICS) (NON-NULL Unique),sector code #4 (NAICS) (NON-NULL Unique),sector code #5 (NAICS) (NON-NULL Unique),sector codes all (NAICS) (NON-NULL Unique),ArticleTargetYear (NON-NULL Unique),Source Date (NON-NULL Unique),PressReleaseYear (NON-NULL Unique),Target sentence (NON-NULL Total),Target sentence (NON-NULL Unique),Targetyear(s) (NON-NULL Unique),sentence-carbon (1 Total),sentence-gender (1 Total),sentence-renewables (1 Total),sentence-suppliers (1 Total),sentence-water (1 Total),sentence-waste (1 Total),sentence-other (1 Total)
2023-05-03 04:55:44,9042,745,5193,6675,9042,745,9042,27,286,242,157,109,68,566,836,795,4,9042,8671,328,2950,178,1353,432,460,390,4736
2023-05-04 11:19:57,9042,745,5193,6675,9042,745,9042,27,286,242,157,109,68,566,836,795,4,9042,8671,328,2950,178,1353,432,460,390,4736
2023-05-04 12:19:52,9042,745,5193,6675,9042,745,9042,27,286,242,157,109,68,566,836,795,4,9042,8671,328,2950,178,1353,432,460,390,4736
2023-05-30 12:42:30,9042,745,5193,6675,9042,745,9042,27,286,242,157,109,68,566,836,795,4,9042,8671,328,2950,178,1353,432,460,390,4736
2023-06-06 12:42:20,9042,745,5193,6675,9042,745,9042,27,286,242,157,109,68,566,836,795,4,9042,8671,328,2950,178,1353,432,460,390,4736
2023-06-14 00:11:42,9042,745,5193,6675,9042,745,9042,27,286,242,157,109,68,566,836,795,4,9042,8671,328,2950,178,1353,432,460,390,4736
2023-06-25 08:22:22,46,18,15,46,46,18,46,1,18,14,9,3,2,18,20,19,1,46,46,14,22,0,12,0,5,7,16
2023-06-26 07:45:02,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,662,3,8818,8449,324,,,,,,,
2023-06-26 14:20:57,23555,775,11242,18544,23555,775,23555,28,293,248,162,111,69,583,876,1112,3,23555,9570,338,,,,,,,
2023-06-27 05:33:51,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-07-12 00:37:23,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-07-19 00:30:56,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-08-01 06:30:41,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-08-09 00:41:09,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-08-16 00:16:35,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-08-21 13:16:32,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-08-21 13:18:55,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-08-25 03:32:17,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-08-25 20:20:29,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-08-28 07:35:50,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-08-28 13:18:16,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-09-05 12:43:22,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-09-12 12:43:32,8818,725,5064,6477,8818,725,8818,27,282,239,156,108,68,555,807,661,3,8818,8449,324,,,,,,,
2023-09-19 13:04:02,9927,751,5698,7464,9927,751,9927,27,289,244,157,108,68,569,807,661,3,9927,9215,384,,,,,,,
2023-09-19 15:09:33,1159,104,671,1035,1159,104,1159,9,76,47,23,11,8,94,0,0,0,1159,810,120,,,,,,,
2023-09-28 03:44:22,4227,539,2379,3441,4227,539,4227,21,247,194,116,74,45,426,19,19,1,4227,4205,482,,,,,,,
2023-09-28 17:05:21,4227,539,2379,3441,4227,539,4227,21,247,194,116,74,45,426,19,19,1,4227,4205,482,,,,,,,
2023-12-07 12:57:15,96988,941,51292,77670,96988,941,96988,23,329,264,160,107,63,667,0,0,0,96988,96776,416,,,,,,,
2023-12-19 07:20:51,96988,941,51292,77670,96988,941,96988,23,329,264,160,107,63,667,0,0,0,96988,96776,416,,,,,,,
2023-12-20 02:42:56,97133,943,51321,77700,97133,943,97133,23,330,264,160,107,63,669,0,0,0,97133,96921,416,,,,,,,
2024-02-19 05:26:21,95862,937,50777,76319,95862,937,95862,23,329,263,161,108,63,665,0,0,0,95861,95785,0,,,,,,,
2024-02-19 13:50:21,95862,937,50777,76319,95862,937,95862,23,329,263,161,108,63,665,0,0,0,95861,95785,0,,,,,,,
2024-02-19 13:55:53,95862,937,50777,76319,95862,937,95862,23,329,263,161,108,63,665,0,0,0,95861,95785,0,,,,,,,
2024-02-19 14:01:30,95862,937,50777,76319,95862,937,95862,23,329,263,161,108,63,665,0,0,0,95861,95785,0,,,,,,,
2024-02-19 14:04:49,95862,937,50777,76319,95862,937,95862,23,329,263,161,108,63,665,0,0,0,95861,95785,0,,,,,,,
2024-02-19 14:07:51,95862,937,50777,76319,95862,937,95862,23,329,263,161,108,63,665,0,0,0,95861,95785,0,,,,,,,
2024-02-19 14:10:36,95862,937,50777,76319,95862,937,95862,23,329,263,161,108,63,665,0,0,0,95861,95785,0,,,,,,,
